Formula_Label,Solvent,Solvent_Polarity,DS_Protein_Ratio,DS_MW,DS Concentration,Polymer_MW,Polymer_Protein_Ratio,Polymer concentration,log_DS_MW,log_Polymer_MW,Experimenta #,Encapsulation efficiency (%),Size,Zeta Potential,Release D5,Release D10,Release D30,,,,,,,,,,,,,,,,,,,
56,ACETONE,5.1,1.5,500000,0.75,20000,20,5,5.7,4.3,,,103.1666667,-48.26666667,,,,,,,,,,,,,,,,,,,,,,
57,ACETONE,5.1,1.5,20000,0.75,10000,5,1.25,4.3,4.0,,,201.2333333,-27.3,,,,,,,,,,,,,,,,,,,,,,
58,ACETONE,5.1,1.5,500000,0.75,75000,20,5,5.7,4.9,,,116,-47.03333333,,,,,,,,,,,,,,,,,,,,,,
59,ACETONE,5.1,1.5,100000,0.75,45000,2.5,0.625,5.0,4.7,,,144.8,-35.8,,,,,,,,,,,,,,,,,,,,,,
60,ACETONE,5.1,1.5,100000,0.75,75000,10,2.5,5.0,4.9,,,128.9,-41.13333333,,,,,,,,,,,,,,,,,,,,,,
61,ACETONE,5.1,1,100000,0.5,20000,20,5,5.0,4.3,,,93.75,-34.93333333,,,,,,,,,,,,,,,,,,,,,,
62,ACETONE,5.1,1.5,500000,0.75,20000,10,2.5,5.7,4.3,,,124.0666667,-38.03333333,,,,,,,,,,,,,,,,,,,,,,
63,ACETONE,5.1,2,500000,1,55000,2.5,0.625,5.7,4.7,,,181.7666667,-38.43333333,,,,,,,,,,,,,,,,,,,,,,
64,ACETONE,5.1,0.75,40000,0.375,75000,10,2.5,4.6,4.9,,,164.3,-38.26666667,,,,,,,,,,,,,,,,,,,,,,
65,ACETONE,5.1,0.5,6500,0.25,55000,5,1.25,3.8,4.7,,,129.9333333,-32.43333333,,,,,,,,,,,,,,,,,,,,,,
66,ACETONE,5.1,1.5,100000,0.75,20000,20,5,5.0,4.3,,,93.08333333,-37.16666667,,,,,,,,,,,,,,,,,,,,,,
67,ACETONE,5.1,0.75,100000,0.375,20000,10,2.5,5.0,4.3,,,116.0666667,-35.33333333,,,,,,,,,,,,,,,,,,,,,,
68,ACETONE,5.1,1,100000,0.5,10000,10,2.5,5.0,4.0,,,105,-29.43333333,,,,,,,,,,,,,,,,,,,,,,
69,ACETONE,5.1,0.75,500000,0.375,45000,5,1.25,5.7,4.7,,,213.0333333,-38.16666667,,,,,,,,,,,,,,,,,,,,,,
70,ACETONE,5.1,1.5,100000,0.75,75000,20,5,5.0,4.9,,,116,-37.43333333,,,,,,,,,,,,,,,,,,,,,,
71,ACETONE,5.1,0.5,100000,0.25,55000,20,5,5.0,4.7,,,121.3333333,-36.3,,,,,,,,,,,,,,,,,,,,,,
72,ACETONE,5.1,1.5,100000,0.75,10000,1,0.25,5.0,4.0,,,147.5666667,-35.5,,,,,,,,,,,,,,,,,,,,,,
73,ACETONE,5.1,1.5,100000,0.75,45000,20,5,5.0,4.7,,,99.07666667,-41.5,,,,,,,,,,,,,,,,,,,,,,
74,ACETONE,5.1,1,100000,0.5,20000,1,0.25,5.0,4.3,,,164.4333333,-36.2,,,,,,,,,,,,,,,,,,,,,,
75,ACETONE,5.1,1.5,40000,0.75,55000,10,2.5,4.6,4.7,,,168.7,-30.63333333,,,,,,,,,,,,,,,,,,,,,,
76,ACETONE,5.1,1,500000,0.5,45000,20,5,5.7,4.7,,,103.2,-39.13333333,,,,,,,,,,,,,,,,,,,,,,
77,ACETONE,5.1,2,500000,1,45000,10,2.5,5.7,4.7,,,121,-37.16666667,,,,,,,,,,,,,,,,,,,,,,
78,ACETONE,5.1,2,100000,1,20000,5,1.25,5.0,4.3,,,142.5666667,-38.36666667,,,,,,,,,,,,,,,,,,,,,,
79,ACETONE,5.1,1,500000,0.5,55000,20,5,5.7,4.7,,,112.9333333,-37.7,,,,,,,,,,,,,,,,,,,,,,
80,ACETONE,5.1,2,6500,1,45000,5,1.25,3.8,4.7,,,118.2333333,-37.6,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
