Formula_Label,Formulation,Dose,Fraction,Payload,Empty%,Size,mRNA uptake (%),mRNA uptake (MFI),Lipid uptake (%),Lipid uptake (MFI),Endosomal escape,Transfection (%),Transfection (MFI),batch
50,315,5.0,5,6.26,47.84,76.23,4.34,2376.67,100.00,2609.00,,1.22,502.67,2
51,315,10.0,1,5.58,47.78,81.05,64.67,2934.67,99.83,4026.33,1.025,27.37,695.67,1
52,315,10.0,2,8.62,20.19,98.10,62.23,2644.33,99.80,2726.33,1.016,5.93,615.33,1
53,315,10.0,3,7.14,32.02,84.86,62.23,2536.33,99.87,2738.00,0.999,2.78,584.33,1
54,315,10.0,4,5.48,42.80,73.60,69.27,2689.00,99.93,3285.00,0.941,3.41,585.33,1
55,315,10.0,5,4.90,50.35,70.23,81.83,3434.00,99.93,4842.00,0.991,50.13,765.33,1
56,315,10.0,1,8.08,43.92,86.17,15.70,2934.67,100.00,3631.67,,4.36,536.33,2
57,315,10.0,2,14.69,20.31,100.73,9.36,2644.33,100.00,2893.00,,0.70,523.67,2
58,315,10.0,3,10.90,29.23,91.93,3.67,2536.33,100.00,2638.00,,0.57,520.67,2
59,315,10.0,4,7.62,40.46,78.85,15.10,2689.00,100.00,4055.67,,1.16,507.67,2
60,315,10.0,5,6.26,47.84,76.23,11.84,3434.00,100.00,4175.00,,9.43,535.33,2
