Formula_label,FALCON_ID,Iter,Opt_Method,Max_Cell_Target,Ionizable_lipid,Helper_lipid,NP_ratio,IL+HL,HL_IL+HL,PEG_PEG+Chol,MC3_PcntMolar,DSPC_PcntMolar,Cholesterol_PcntMolar,DMGPEG_PcntMolar,nLnLE_RAMOS,nLnLE_THP1,nLnLE_Selectivity
1,F0001,0,N/A,N/A,Dlin-MC3-DMA,DSPC,4,20,50,9.090909091,10,10,72.72727273,7.272727273,1.46064466,0.488105317,0.972539343
2,F0002,0,N/A,N/A,Dlin-MC3-DMA,DSPC,8,20,50,9.090909091,10,10,72.72727273,7.272727273,-1.288201707,0.542704317,-1.830906024
3,F0003,0,N/A,N/A,Dlin-MC3-DMA,DSPC,12,20,50,9.090909091,10,10,72.72727273,7.272727273,-1.409167405,0.929140317,-2.338307722
4,F0004,0,N/A,N/A,Dlin-MC3-DMA,DSPC,4,50,50,9.090909091,25,25,45.45454545,4.545454545,2.978449476,0.945476317,2.032973159
5,F0005,0,N/A,N/A,Dlin-MC3-DMA,DSPC,8,50,50,9.090909091,25,25,45.45454545,4.545454545,2.748254075,1.316260317,1.431993758
6,F0006,0,N/A,N/A,Dlin-MC3-DMA,DSPC,12,50,50,9.090909091,25,25,45.45454545,4.545454545,2.556686389,1.662532317,0.894154072
7,F0007,0,N/A,N/A,Dlin-MC3-DMA,DSPC,4,80,50,9.090909091,40,40,18.18181818,1.818181818,0.074683301,0.813396317,-0.738713016
8,F0008,0,N/A,N/A,Dlin-MC3-DMA,DSPC,8,80,50,9.090909091,40,40,18.18181818,1.818181818,2.597613481,1.659421317,0.938192164
9,F0009,0,N/A,N/A,Dlin-MC3-DMA,DSPC,12,80,50,9.090909091,40,40,18.18181818,1.818181818,2.811799294,1.773124317,1.038674977
10,F0010,0,N/A,N/A,Dlin-MC3-DMA,DSPC,4,20,1.960784314,9.090909091,19.60784314,0.392156863,72.72727273,7.272727273,-0.129719713,-0.118730683,-0.01098903
