Formula_label,FALCON_ID,Iter,Opt_Method,Max_Cell_Target,Ionizable_lipid,Helper_lipid,NP_ratio,IL+HL,HL_IL+HL,PEG_PEG+Chol,MC3_PcntMolar,DSPC_PcntMolar,Cholesterol_PcntMolar,DMGPEG_PcntMolar,nLnLE_RAMOS,nLnLE_THP1,nLnLE_Selectivity
11,F0011,0,N/A,N/A,Dlin-MC3-DMA,DSPC,8,20,1.960784314,9.090909091,19.60784314,0.392156863,72.72727273,7.272727273,0.115731528,-0.537993683,0.653725211
12,F0012,0,N/A,N/A,Dlin-MC3-DMA,DSPC,12,20,1.960784314,9.090909091,19.60784314,0.392156863,72.72727273,7.272727273,-0.763723286,-0.961945683,0.198222397
13,F0013,0,N/A,N/A,Dlin-MC3-DMA,DSPC,4,50,1.960784314,9.090909091,49.01960784,0.980392157,45.45454545,4.545454545,1.41860883,1.104274317,0.314334513
14,F0014,0,N/A,N/A,Dlin-MC3-DMA,DSPC,8,50,1.960784314,9.090909091,49.01960784,0.980392157,45.45454545,4.545454545,1.09196587,1.996698317,-0.904732447
15,F0015,0,N/A,N/A,Dlin-MC3-DMA,DSPC,12,50,1.960784314,9.090909091,49.01960784,0.980392157,45.45454545,4.545454545,1.042174982,1.751671317,-0.709496335
16,F0016,0,N/A,N/A,Dlin-MC3-DMA,DSPC,4,80,1.960784314,9.090909091,78.43137255,1.568627451,18.18181818,1.818181818,0.557428077,-0.424999683,0.98242776
17,F0017,0,N/A,N/A,Dlin-MC3-DMA,DSPC,8,80,1.960784314,9.090909091,78.43137255,1.568627451,18.18181818,1.818181818,0.209884123,0.122863317,0.087020806
18,F0018,0,N/A,N/A,Dlin-MC3-DMA,DSPC,12,80,1.960784314,9.090909091,78.43137255,1.568627451,18.18181818,1.818181818,0.365649847,0.298509317,0.06714053
19,F0019,0,N/A,N/A,Dlin-MC3-DMA,DSPC,4,20,0.497512438,9.090909091,19.90049751,0.099502488,72.72727273,7.272727273,-0.171993717,-0.435064683,0.263070966
20,F0020,0,N/A,N/A,Dlin-MC3-DMA,DSPC,8,20,0.497512438,9.090909091,19.90049751,0.099502488,72.72727273,7.272727273,0.215193113,-0.428247683,0.643440796
21,F0021,0,N/A,N/A,Dlin-MC3-DMA,DSPC,12,20,0.497512438,9.090909091,19.90049751,0.099502488,72.72727273,7.272727273,0.234175942,-0.535993683,0.770169625
22,F0022,0,N/A,N/A,Dlin-MC3-DMA,DSPC,4,50,0.497512438,9.090909091,49.75124378,0.248756219,45.45454545,4.545454545,1.116841402,0.675764317,0.441077085
23,F0023,0,N/A,N/A,Dlin-MC3-DMA,DSPC,8,50,0.497512438,9.090909091,49.75124378,0.248756219,45.45454545,4.545454545,1.217860803,1.477585317,-0.259724514
24,F0024,0,N/A,N/A,Dlin-MC3-DMA,DSPC,12,50,0.497512438,9.090909091,49.75124378,0.248756219,45.45454545,4.545454545,1.253118927,1.810282317,-0.55716339
25,F0025,0,N/A,N/A,Dlin-MC3-DMA,DSPC,4,80,0.497512438,9.090909091,79.60199005,0.39800995,18.18181818,1.818181818,-1.193988965,-1.460514683,0.266525718
26,F0026,0,N/A,N/A,Dlin-MC3-DMA,DSPC,8,80,0.497512438,9.090909091,79.60199005,0.39800995,18.18181818,1.818181818,-1.035238063,-0.055732683,-0.97950538
27,F0027,0,N/A,N/A,Dlin-MC3-DMA,DSPC,12,80,0.497512438,9.090909091,79.60199005,0.39800995,18.18181818,1.818181818,-1.123268778,-0.239327683,-0.883941095
28,F0028,0,N/A,N/A,Dlin-MC3-DMA,DSPC,4,20,50,0.99009901,10,10,79.20792079,0.792079208,1.409814308,2.708111317,-1.298297009
29,F0029,0,N/A,N/A,Dlin-MC3-DMA,DSPC,8,20,50,0.99009901,10,10,79.20792079,0.792079208,2.443112754,2.892816317,-0.449703563
30,F0030,0,N/A,N/A,Dlin-MC3-DMA,DSPC,12,20,50,0.99009901,10,10,79.20792079,0.792079208,2.130258279,3.019860317,-0.889602038
31,F0031,0,N/A,N/A,Dlin-MC3-DMA,DSPC,4,50,50,0.99009901,25,25,49.5049505,0.495049505,4.699289223,2.811158317,1.888130906
32,F0032,0,N/A,N/A,Dlin-MC3-DMA,DSPC,8,50,50,0.99009901,25,25,49.5049505,0.495049505,4.341236342,4.070522317,0.270714025
33,F0033,0,N/A,N/A,Dlin-MC3-DMA,DSPC,12,50,50,0.99009901,25,25,49.5049505,0.495049505,3.877901921,4.111625317,-0.233723396
34,F0034,0,N/A,N/A,Dlin-MC3-DMA,DSPC,4,80,50,0.99009901,40,40,19.8019802,0.198019802,-0.702266922,1.249904317,-1.952171239
35,F0035,0,N/A,N/A,Dlin-MC3-DMA,DSPC,8,80,50,0.99009901,40,40,19.8019802,0.198019802,1.564751799,2.713432317,-1.148680518
36,F0036,0,N/A,N/A,Dlin-MC3-DMA,DSPC,12,80,50,0.99009901,40,40,19.8019802,0.198019802,2.455176735,2.525084317,-0.069907582
37,F0037,0,N/A,N/A,Dlin-MC3-DMA,DSPC,4,20,1.960784314,0.99009901,19.60784314,0.392156863,79.20792079,0.792079208,2.938621614,4.299194317,-1.360572703
38,F0038,0,N/A,N/A,Dlin-MC3-DMA,DSPC,8,20,1.960784314,0.99009901,19.60784314,0.392156863,79.20792079,0.792079208,2.000447844,4.047196317,-2.046748473
39,F0039,0,N/A,N/A,Dlin-MC3-DMA,DSPC,12,20,1.960784314,0.99009901,19.60784314,0.392156863,79.20792079,0.792079208,1.542001815,3.935471317,-2.393469502
40,F0040,0,N/A,N/A,Dlin-MC3-DMA,DSPC,4,50,1.960784314,0.99009901,49.01960784,0.980392157,49.5049505,0.495049505,1.616505202,3.944081317,-2.327576115
41,F0041,0,N/A,N/A,Dlin-MC3-DMA,DSPC,8,50,1.960784314,0.99009901,49.01960784,0.980392157,49.5049505,0.495049505,0.54078349,3.893363317,-3.352579827
42,F0042,0,N/A,N/A,Dlin-MC3-DMA,DSPC,12,50,1.960784314,0.99009901,49.01960784,0.980392157,49.5049505,0.495049505,0.456905832,4.059555317,-3.602649485
43,F0043,0,N/A,N/A,Dlin-MC3-DMA,DSPC,4,80,1.960784314,0.99009901,78.43137255,1.568627451,19.8019802,0.198019802,-0.088016042,2.572878317,-2.660894359
44,F0044,0,N/A,N/A,Dlin-MC3-DMA,DSPC,8,80,1.960784314,0.99009901,78.43137255,1.568627451,19.8019802,0.198019802,-0.585175889,2.937208317,-3.522384206
45,F0045,0,N/A,N/A,Dlin-MC3-DMA,DSPC,12,80,1.960784314,0.99009901,78.43137255,1.568627451,19.8019802,0.198019802,-0.585175889,3.332314317,-3.917490206
46,F0046,0,N/A,N/A,Dlin-MC3-DMA,DSPC,4,20,0.497512438,0.99009901,19.90049751,0.099502488,79.20792079,0.792079208,2.762363042,4.165209317,-1.402846275
47,F0047,0,N/A,N/A,Dlin-MC3-DMA,DSPC,8,20,0.497512438,0.99009901,19.90049751,0.099502488,79.20792079,0.792079208,2.057012714,4.331229317,-2.274216603
48,F0048,0,N/A,N/A,Dlin-MC3-DMA,DSPC,12,20,0.497512438,0.99009901,19.90049751,0.099502488,79.20792079,0.792079208,1.636529689,4.653156317,-3.016626628
49,F0049,0,N/A,N/A,Dlin-MC3-DMA,DSPC,4,50,0.497512438,0.99009901,49.75124378,0.248756219,49.5049505,0.495049505,1.109606514,4.015039317,-2.905432803
50,F0050,0,N/A,N/A,Dlin-MC3-DMA,DSPC,8,50,0.497512438,0.99009901,49.75124378,0.248756219,49.5049505,0.495049505,0.575017701,4.165804317,-3.590786616
51,F0051,0,N/A,N/A,Dlin-MC3-DMA,DSPC,12,50,0.497512438,0.99009901,49.75124378,0.248756219,49.5049505,0.495049505,-0.015063518,4.144743317,-4.159806835
52,F0052,0,N/A,N/A,Dlin-MC3-DMA,DSPC,4,80,0.497512438,0.99009901,79.60199005,0.39800995,19.8019802,0.198019802,-1.562404643,2.294040317,-3.85644496
53,F0053,0,N/A,N/A,Dlin-MC3-DMA,DSPC,8,80,0.497512438,0.99009901,79.60199005,0.39800995,19.8019802,0.198019802,-1.63068657,1.131103317,-2.761789887
54,F0054,0,N/A,N/A,Dlin-MC3-DMA,DSPC,12,80,0.497512438,0.99009901,79.60199005,0.39800995,19.8019802,0.198019802,-1.506614247,1.862217317,-3.368831564
55,F0055,0,N/A,N/A,Dlin-MC3-DMA,DSPC,4,20,50,0.199600798,10,10,79.84031936,0.159680639,0.25528776,2.072684317,-1.817396557
56,F0056,0,N/A,N/A,Dlin-MC3-DMA,DSPC,8,20,50,0.199600798,10,10,79.84031936,0.159680639,0.87737389,3.020638317,-2.143264427
57,F0057,0,N/A,N/A,Dlin-MC3-DMA,DSPC,12,20,50,0.199600798,10,10,79.84031936,0.159680639,1.238422233,3.933932317,-2.695510084
58,F0058,0,N/A,N/A,Dlin-MC3-DMA,DSPC,4,50,50,0.199600798,25,25,49.9001996,0.099800399,3.220841772,2.572518317,0.648323455
59,F0059,0,N/A,N/A,Dlin-MC3-DMA,DSPC,8,50,50,0.199600798,25,25,49.9001996,0.099800399,4.330536932,4.509172317,-0.178635385
60,F0060,0,N/A,N/A,Dlin-MC3-DMA,DSPC,12,50,50,0.199600798,25,25,49.9001996,0.099800399,3.49264352,5.429766317,-1.937122797
61,F0061,0,N/A,N/A,Dlin-MC3-DMA,DSPC,4,80,50,0.199600798,40,40,19.96007984,0.03992016,-1.606193501,1.861687317,-3.467880818
62,F0062,0,N/A,N/A,Dlin-MC3-DMA,DSPC,8,80,50,0.199600798,40,40,19.96007984,0.03992016,-0.000914008,3.146625317,-3.147539325
63,F0063,0,N/A,N/A,Dlin-MC3-DMA,DSPC,12,80,50,0.199600798,40,40,19.96007984,0.03992016,-0.120875166,3.093104317,-3.213979483
64,F0064,0,N/A,N/A,Dlin-MC3-DMA,DSPC,4,20,1.960784314,0.199600798,19.60784314,0.392156863,79.84031936,0.159680639,0.898105982,2.940360317,-2.042254335
65,F0065,0,N/A,N/A,Dlin-MC3-DMA,DSPC,8,20,1.960784314,0.199600798,19.60784314,0.392156863,79.84031936,0.159680639,0.127682156,2.884784317,-2.757102161
66,F0066,0,N/A,N/A,Dlin-MC3-DMA,DSPC,12,20,1.960784314,0.199600798,19.60784314,0.392156863,79.84031936,0.159680639,0.266047918,2.555137317,-2.289089399
67,F0067,0,N/A,N/A,Dlin-MC3-DMA,DSPC,4,50,1.960784314,0.199600798,49.01960784,0.980392157,49.9001996,0.099800399,1.342524038,4.402212317,-3.059688279
68,F0068,0,N/A,N/A,Dlin-MC3-DMA,DSPC,8,50,1.960784314,0.199600798,49.01960784,0.980392157,49.9001996,0.099800399,0.455590509,4.987568317,-4.531977808
69,F0069,0,N/A,N/A,Dlin-MC3-DMA,DSPC,12,50,1.960784314,0.199600798,49.01960784,0.980392157,49.9001996,0.099800399,-0.134671431,5.240556317,-5.375227748
70,F0070,0,N/A,N/A,Dlin-MC3-DMA,DSPC,4,80,1.960784314,0.199600798,78.43137255,1.568627451,19.96007984,0.03992016,-0.438426527,2.430173317,-2.868599844
71,F0071,0,N/A,N/A,Dlin-MC3-DMA,DSPC,8,80,1.960784314,0.199600798,78.43137255,1.568627451,19.96007984,0.03992016,-0.721739743,2.709679317,-3.43141906
72,F0072,0,N/A,N/A,Dlin-MC3-DMA,DSPC,12,80,1.960784314,0.199600798,78.43137255,1.568627451,19.96007984,0.03992016,-1.123268778,3.389189317,-4.512458095
73,F0073,0,N/A,N/A,Dlin-MC3-DMA,DSPC,4,20,0.497512438,0.199600798,19.90049751,0.099502488,79.84031936,0.159680639,1.588715154,2.393851317,-0.805136163
74,F0074,0,N/A,N/A,Dlin-MC3-DMA,DSPC,8,20,0.497512438,0.199600798,19.90049751,0.099502488,79.84031936,0.159680639,0.858280982,1.937491317,-1.079210335
75,F0075,0,N/A,N/A,Dlin-MC3-DMA,DSPC,12,20,0.497512438,0.199600798,19.90049751,0.099502488,79.84031936,0.159680639,0.374489954,3.172410317,-2.797920363
76,F0076,0,N/A,N/A,Dlin-MC3-DMA,DSPC,4,50,0.497512438,0.199600798,49.75124378,0.248756219,49.9001996,0.099800399,1.341949299,3.967381317,-2.625432018
77,F0077,0,N/A,N/A,Dlin-MC3-DMA,DSPC,8,50,0.497512438,0.199600798,49.75124378,0.248756219,49.9001996,0.099800399,0.335849843,4.826063317,-4.490213474
78,F0078,0,N/A,N/A,Dlin-MC3-DMA,DSPC,12,50,0.497512438,0.199600798,49.75124378,0.248756219,49.9001996,0.099800399,-0.22246224,5.185564317,-5.408026557
79,F0079,0,N/A,N/A,Dlin-MC3-DMA,DSPC,4,80,0.497512438,0.199600798,79.60199005,0.39800995,19.96007984,0.03992016,-2.142923358,1.693792317,-3.836715675
80,F0080,0,N/A,N/A,Dlin-MC3-DMA,DSPC,8,80,0.497512438,0.199600798,79.60199005,0.39800995,19.96007984,0.03992016,-1.618195039,1.980911317,-3.599106356
81,F0081,0,N/A,N/A,Dlin-MC3-DMA,DSPC,12,80,0.497512438,0.199600798,79.60199005,0.39800995,19.96007984,0.03992016,-1.562404643,2.447726317,-4.01013096
82,F0082,1,DA,THP1,Dlin-MC3-DMA,DSPC,17.49678659,79.71465722,14.30328233,0.513310239,68.31284474,11.40181248,20.18121604,0.104126741,2.13454469,3.647659641,-1.513114951
83,F0083,1,DA,THP1,Dlin-MC3-DMA,DSPC,26.93918622,57.67897487,4.508015024,0.460714166,55.07879801,2.600176853,42.12604618,0.194978958,1.733341436,7.122874233,-5.389532797
84,F0084,1,DA,THP1,Dlin-MC3-DMA,DSPC,21.33104444,61.86817586,33.31487578,0.457478542,41.25686993,20.61130594,37.95737922,0.174444913,4.589326001,3.37360995,1.215716051
85,F0085,1,DA,THP1,Dlin-MC3-DMA,DSPC,14.01767576,52.33291924,26.19321417,0.537310354,38.62524562,13.70767362,47.4109606,0.25612016,5.896019648,4.700479989,1.195539659
86,F0086,1,DA,THP1,Dlin-MC3-DMA,DSPC,16.56748326,77.8910917,27.62202455,0.712317741,56.37599523,21.51509648,21.95142262,0.157485676,2.313237458,3.260882973,-0.947645515
87,F0087,1,DA,THP1,Dlin-MC3-DMA,DSPC,27.60370743,71.44619704,40.00217567,0.283365315,42.86616379,28.58003325,28.47289138,0.080911574,3.137159193,3.001092211,0.136066982
88,F0088,1,DA,THP1,Dlin-MC3-DMA,DSPC,24.7644757,66.71604297,23.31331247,0.344481329,51.1623234,15.55371956,33.16930002,0.114657018,3.80462757,3.687221588,0.117405982
89,F0089,1,DA,THP1,Dlin-MC3-DMA,DSPC,26.3506844,62.85272248,15.30623753,0.28515363,53.23233548,9.620386998,37.04135071,0.10592681,4.130721019,5.764280371,-1.633559352
90,F0090,1,DA,THP1,Dlin-MC3-DMA,DSPC,21.2311618,73.56491968,12.840111,0.398862451,64.11910234,9.445817341,26.32964071,0.105439609,2.647358769,3.932856914,-1.285498145
91,F0091,1,DA,THP1,Dlin-MC3-DMA,DSPC,21.40034676,65.17500305,7.835740241,0.415959111,60.06805911,5.106943941,34.68013921,0.144857748,2.735818696,8.35715559,-5.621336894
92,F0092,1,DA,THP1,Dlin-MC3-DMA,DSPC,27.93416202,52.27887541,23.75006019,0.808084423,39.86261103,12.41626438,47.33549762,0.385626974,5.847198914,6.248360124,-0.40116121
93,F0093,1,DA,THP1,Dlin-MC3-DMA,DSPC,24.24527264,51.63249433,20.6363793,0.595034219,40.97741696,10.65507737,48.07970246,0.287803209,5.89461687,6.540676858,-0.646059988
94,F0094,1,NSGAII,THP1,Dlin-MC3-DMA,DSPC,25.6303239,74.03602017,4.188214177,0.329833129,70.93523308,3.100787093,25.87834202,0.085637807,2.159713874,6.946936728,-4.787222854
95,F0095,1,NSGAII,THP1,Dlin-MC3-DMA,DSPC,13.54938263,91.19350765,42.50278329,0.207375638,52.43372872,38.75977893,8.788229834,0.01826252,0.434734426,2.091885445,-1.657151019
96,F0096,1,NSGAII,THP1,Dlin-MC3-DMA,DSPC,5.109424398,82.47129418,0.620550786,0.237306495,81.95951792,0.511776265,17.48710906,0.041596757,-0.653002787,2.623694503,-3.27669729
97,F0097,1,NSGAII,THP1,Dlin-MC3-DMA,DSPC,14.67842286,50.54441493,1.110552976,0.201625221,49.98309243,0.561322504,49.35587013,0.099714933,1.205646914,6.126843698,-4.921196784
98,F0098,1,NSGAII,THP1,Dlin-MC3-DMA,DSPC,27.87149598,69.61317814,45.64472035,0.211805856,37.83843765,31.77474049,30.32246079,0.064361068,2.93533582,2.597029188,0.338306632
99,F0099,1,NSGAII,THP1,Dlin-MC3-DMA,DSPC,19.37833547,72.16612746,23.38091139,0.50490906,55.29302914,16.87309832,27.6933368,0.140535744,2.647881837,3.53445275,-0.886570913
100,F0100,1,NSGAII,THP1,Dlin-MC3-DMA,DSPC,23.29764847,78.28996934,37.97794563,0.867630538,48.55704735,29.73292199,21.52166781,0.188362856,2.369598797,2.978578731,-0.608979934
101,F0101,1,NSGAII,THP1,Dlin-MC3-DMA,DSPC,22.40006945,51.01615105,10.23915457,0.209699311,45.79252848,5.223622562,48.88113016,0.102718794,2.266597183,6.217374219,-3.950777036
102,F0102,1,NSGAII,THP1,Dlin-MC3-DMA,DSPC,13.69278744,77.1634357,17.17910185,0.371664627,63.90745049,13.25598521,22.75168886,0.084875432,1.897893257,3.755880171,-1.857986914
103,F0103,1,NSGAII,THP1,Dlin-MC3-DMA,DSPC,17.46848656,75.45770804,0.999479512,0.337079262,74.70352371,0.754184332,24.45956498,0.082726977,0.071914453,7.059321135,-6.987406682
104,F0104,1,NSGAII,THP1,Dlin-MC3-DMA,DSPC,26.9455947,53.00860095,18.33472711,0.386857219,43.28961862,9.718982328,46.80960944,0.181789619,4.821893668,6.904266169,-2.082372501
105,F0105,1,NSGAII,THP1,Dlin-MC3-DMA,DSPC,18.99761816,86.40412368,48.68823659,0.264196415,44.33547952,42.06864416,13.5599565,0.035919818,1.494652114,3.045538069,-1.550885955
106,F0106,1,DA,RAMOS,Dlin-MC3-DMA,DSPC,6.703303456,54.5045425,71.74452036,4.84223176,15.40051991,39.10402259,43.29246201,2.202995492,5.089052134,1.441928595,3.647123539
107,F0107,1,DA,RAMOS,Dlin-MC3-DMA,DSPC,7.008821666,72.07045205,63.99097143,4.055192943,25.95186967,46.11858238,26.79695089,1.132597057,3.383345209,1.786455201,1.596890008
108,F0108,1,DA,RAMOS,Dlin-MC3-DMA,DSPC,4.699622869,68.62685397,55.48659313,3.184107184,30.54815073,38.07870324,30.37419143,0.998954596,2.673554051,1.166369071,1.50718498
109,F0109,1,DA,RAMOS,Dlin-MC3-DMA,DSPC,6.836747944,51.76209867,66.67280265,2.558957274,17.25085677,34.5112419,47.00351404,1.234387285,4.832784889,2.091489954,2.741294935
110,F0110,1,DA,RAMOS,Dlin-MC3-DMA,DSPC,5.880505726,67.07294166,89.96570992,7.983236433,6.730293534,60.34264813,30.29841342,2.628644918,0.724495989,0.286683294,0.437812695
111,F0111,1,DA,RAMOS,Dlin-MC3-DMA,DSPC,5.767894149,51.12031847,53.68925101,6.825650773,23.67420237,27.4461161,45.54332517,3.33635636,5.418675484,1.622461022,3.796214462
112,F0112,1,DA,RAMOS,Dlin-MC3-DMA,DSPC,4.035772741,67.42561946,58.15797023,6.377489013,28.21224777,39.21337169,30.496953,2.07742754,2.876725116,0.688007562,2.188717554
113,F0113,1,DA,RAMOS,Dlin-MC3-DMA,DSPC,5.352738023,56.18983477,83.15707664,2.871458862,9.464010808,46.72582397,42.55217435,1.257990872,1.630301973,0.517732354,1.112569619
114,F0114,1,DA,RAMOS,Dlin-MC3-DMA,DSPC,5.826965868,73.72313738,82.99925685,5.187976155,12.53348123,61.18965615,24.91362525,1.363237367,0.388518928,-0.24979601,0.638314938
115,F0115,1,DA,RAMOS,Dlin-MC3-DMA,DSPC,7.063157082,63.40321884,91.6167616,3.6486921,5.315242985,58.08797585,35.2614773,1.335303863,0.93933736,0.987156777,-0.047819417
116,F0116,1,DA,RAMOS,Dlin-MC3-DMA,DSPC,6.272937998,67.98419982,96.35900721,5.027803451,2.475299812,65.50890001,30.40610867,1.609691506,-0.653002787,0.21230211,-0.865304897
117,F0117,1,DA,RAMOS,Dlin-MC3-DMA,DSPC,5.161372244,62.10550174,88.00773313,5.624715708,7.447857511,54.65764423,35.76304046,2.131457796,1.054985206,0.382577318,0.672407888
118,F0118,1,NSGAII,RAMOS,Dlin-MC3-DMA,DSPC,16.419485,46.71615095,5.434857487,18.98557632,44.17719472,2.538956227,43.16760322,10.11624583,1.789291277,5.197055498,-3.407764221
119,F0119,1,NSGAII,RAMOS,Dlin-MC3-DMA,DSPC,5.100032748,32.98643489,58.4967109,18.00432409,13.69045544,19.29597946,54.94822566,12.06533945,3.319676717,1.345416715,1.974260002
120,F0120,1,NSGAII,RAMOS,Dlin-MC3-DMA,DSPC,7.306852312,62.99668468,89.13972698,25.92582264,6.841611951,56.15507273,27.40990142,9.593413901,-0.496334911,-0.01874695,-0.477587961
121,F0121,1,NSGAII,RAMOS,Dlin-MC3-DMA,DSPC,4.703923426,35.63463936,19.41415348,25.0341164,28.71647578,6.918163576,48.25206134,16.11329931,2.174531128,1.79273623,0.381794898
122,F0122,1,NSGAII,RAMOS,Dlin-MC3-DMA,DSPC,7.165874822,49.81996595,18.97947615,11.60225245,40.3643974,9.455568554,44.35801982,5.822014228,3.501595675,3.11227922,0.389316455
123,F0123,1,NSGAII,RAMOS,Dlin-MC3-DMA,DSPC,4.788919595,61.42946171,75.93708965,10.58744033,14.7817163,46.64774541,34.48690556,4.083632728,2.2796099,0.748781414,1.530828486
124,F0124,1,NSGAII,RAMOS,Dlin-MC3-DMA,DSPC,4.505957577,30.17446939,60.96919421,26.79665292,11.77733854,18.39713084,51.11462553,18.71090509,0.491480355,0.404090158,0.087390197
125,F0125,1,NSGAII,RAMOS,Dlin-MC3-DMA,DSPC,19.19243998,43.33951002,17.61019461,12.61921179,35.70733796,7.632172055,49.51038275,7.15010723,3.273243088,3.976076935,-0.702833847
126,F0126,1,NSGAII,RAMOS,Dlin-MC3-DMA,DSPC,4.064315278,96.18299587,84.01325893,21.67392901,15.3765265,80.80646937,2.989709361,0.827294765,-0.884051847,0.247422282,-1.131474129
127,F0127,1,NSGAII,RAMOS,Dlin-MC3-DMA,DSPC,4.433000401,77.92672952,56.29693748,26.85938775,34.05636732,43.8703622,16.14452517,5.928745306,1.781947925,0.382577318,1.399370607
128,F0128,1,NSGAII,RAMOS,Dlin-MC3-DMA,DSPC,9.720968,38.67366142,27.40593926,17.47413654,28.07478126,10.59888016,50.61009045,10.71624814,2.16823322,2.67155508,-0.50332186
129,F0129,1,NSGAII,RAMOS,Dlin-MC3-DMA,DSPC,9.438314586,30.10230139,47.26310799,26.21163237,15.87501818,14.22728322,51.57637081,18.32132779,2.352733411,1.734618435,0.618114976
130,F0130,2,DA,THP1,Dlin-MC3-DMA,DSPC,21.9899572,65.34071095,4.242866101,0.437504961,62.56839207,2.772318875,34.50765294,0.151636109,1.394944907,7.88603134,-6.491086433
131,F0131,2,DA,THP1,Dlin-MC3-DMA,DSPC,22.18597331,66.08907896,5.258041141,0.423966633,62.614088,3.474990962,33.76715005,0.14377099,1.796995656,7.8109517,-6.013956044
132,F0132,2,DA,THP1,Dlin-MC3-DMA,DSPC,22.3686366,63.44187749,1.094891328,0.357730851,62.74725787,0.694619615,36.42734283,0.130779683,0.674661968,7.433586423,-6.758924455
133,F0133,2,DA,THP1,Dlin-MC3-DMA,DSPC,22.3842186,66.3630513,4.696087922,0.425333654,63.24658406,3.116467237,33.49387944,0.143069263,1.312383354,7.66421663,-6.351833276
134,F0134,2,DA,THP1,Dlin-MC3-DMA,DSPC,22.15126619,63.52666416,4.411349095,0.433622875,60.72428124,2.802382924,36.31517911,0.158156728,1.306377185,7.46861924,-6.162242055
135,F0135,2,DA,THP1,Dlin-MC3-DMA,DSPC,22.32625245,64.97149513,4.630340308,0.418397985,61.9630938,3.008401327,34.88194631,0.146558558,1.401000675,7.66149578,-6.260495105
136,F0136,2,DA,THP1,Dlin-MC3-DMA,DSPC,22.09008464,63.04039968,4.947099039,0.456350618,59.92172868,3.118671007,36.79093495,0.168665365,1.453448843,7.63556718,-6.182118337
137,F0137,2,DA,THP1,Dlin-MC3-DMA,DSPC,21.93470483,64.20782801,4.269974966,0.450340823,61.46616983,2.741658182,35.63098523,0.161186762,1.155715477,7.63411964,-6.478404163
138,F0138,2,DA,THP1,Dlin-MC3-DMA,DSPC,21.77083811,64.61643285,4.762476451,0.4270447,61.53909045,3.077342398,35.2324635,0.151103648,1.593333831,7.50988907,-5.916555239
139,F0139,2,DA,THP1,Dlin-MC3-DMA,DSPC,21.70287055,65.21669647,5.12777459,0.439454746,61.87253128,3.34416519,34.63044665,0.152856878,1.430821795,7.316697926,-5.885876131
140,F0140,2,DA,THP1,Dlin-MC3-DMA,DSPC,22.04681858,65.40805489,4.72641896,0.449578577,62.31659618,3.091458708,34.43642714,0.155517975,1.482399662,7.6247867,-6.142387038
141,F0141,2,DA,THP1,Dlin-MC3-DMA,DSPC,21.87687366,63.82550346,4.99390891,0.434831444,60.63811595,3.187387504,36.01719846,0.157298086,1.46474936,7.69550705,-6.23075769
142,F0142,2,NSGAII,THP1,Dlin-MC3-DMA,DSPC,5.813143172,80.71042499,1.033328783,0.207768926,79.87642094,0.834004053,19.24949726,0.040077743,-0.155618493,3.549060209,-3.704678702
143,F0143,2,NSGAII,THP1,Dlin-MC3-DMA,DSPC,22.40004081,39.0317763,2.580246467,0.203444082,38.02466027,1.007116029,60.84418746,0.124036243,0.479521103,6.619266039,-6.139744936
144,F0144,2,NSGAII,THP1,Dlin-MC3-DMA,DSPC,21.90642872,76.84192303,1.074688567,0.203473377,76.01611167,0.825811362,23.11095644,0.047120521,0.386110263,7.093445628,-6.707335365
