Formula_Label,Solvent,Solvent_Polarity,DS_Protein_Ratio,DS_MW,DS Concentration,Polymer_MW,Polymer_Protein_Ratio,Polymer concentration,log_DS_MW,log_Polymer_MW,Experimenta #,Encapsulation efficiency (%),Size,Zeta Potential,Release D5,Release D10,Release D30
33,ACN,3.5,2,40000,1,45000,5,1.25,4.6,4.7,9B,96,87.76333,-44.633333,7.009214724,9.45384819,11.1456487
34,ACN,3.5,0.5,100000,0.25,10000,5,1.25,5,4,6D,90,115.6667,-30.733333,2.28986356,7.20990826,28.3306589
35,ACN,3.5,0.75,100000,0.375,20000,10,2.5,5,4.3,7D,96,93.76667,-42.866667,0.204916136,3.75672983,7.65878084
36,ACN,3.5,0.75,100000,0.375,75000,2.5,0.625,5,4.9,8D,79,147.7,-36,1.405620256,12.7899689,31.2500019
37,ACN,3.5,1.5,6500,0.75,20000,5,1.25,3.8,4.3,10A,67,111.2,-23.566667,3.989650744,10.9286523,37.9310359
38,ACN,3.5,2,100000,1,20000,5,1.25,5,4.3,9D,88,85.39,-42.6,2.953196384,7.03907043,27.3746694
39,ACN,3.5,1,500000,0.5,45000,2.5,0.625,5.7,4.7,10B,91,108.9,-43.166667,8.292748604,8.4547187,1.11731869
40,ACN,3.5,1.5,100000,0.75,20000,5,1.25,5,4.3,10D,73,89.61333,-39.533333,5.083970116,8.43859204,26.5240647
41,ACETONE,5.1,2,500000,1,55000,5,1.25,5.7,4.7,,94.56736534,,,7.02780012,23.09989,25.05889349
42,ACETONE,5.1,1.5,100000,0.75,5000,5,1.25,5,3.7,,,,,,,
43,ACETONE,5.1,2,100000,1,10000,2.5,0.625,5,4,,99.06843397,,,9.668676689,76.07546924,77.54263985
44,ACETONE,5.1,1,500000,0.5,75000,10,2.5,5.7,4.9,,91.25467855,,,15.88400734,22.2906,76.31578204
45,ACETONE,5.1,1,100000,0.5,55000,10,2.5,5,4.7,,98.74503107,,,3.184449549,59.59730714,68.78306418
46,ACETONE,5.1,0.75,500000,0.375,45000,10,2.5,5.7,4.7,,95.43464982,,,3.732597,9.990348482,13.18419315
47,ACETONE,5.1,1,100000,0.5,20000,10,2.5,5,4.3,,97.54075494,,,4.423635784,85.01668052,81.04681551
48,ACETONE,5.1,1,500000,0.5,55000,2.5,0.625,5.7,4.7,,94.57755375,,,5.24861815,28.5222196,11.82212661
49,ACETONE,5.1,0.5,500000,0.25,45000,5,1.25,5.7,4.7,,94.81025484,,,6.666668,13.87895307,15.02702595
50,ACETONE,5.1,1.5,40000,0.75,10000,10,2.5,4.6,4,,94.48224437,,,12.69142,7.488584233,71.56549096
51,ACETONE,5.1,0.75,500000,0.375,55000,20,5,5.7,4.7,,95.7857207,,,6.635718,42.70833555,10.71492498
52,ACETONE,5.1,1,100000,0.5,45000,10,2.5,5,4.7,,98.91646082,,,5.145599346,85.91136859,68.28859195
53,ACETONE,5.1,2,100000,1,75000,5,1.25,5,4.9,,99.07936133,,,8.009707689,75.981997,73.65164088
54,ACETONE,5.1,0.75,500000,0.375,45000,20,5,5.7,4.7,,95.75208081,,,3.025256,13.04651827,13.57282916
55,ACETONE,5.1,2,500000,1,20000,10,2.5,5.7,4.3,,95.27282553,,,7.230514185,23.45979,13.16022986
56,ACETONE,5.1,1.5,500000,0.75,20000,20,5,5.7,4.3,,85.4482353,,,2.817182804,21.6994,11.86060529
57,ACETONE,5.1,1.5,20000,0.75,10000,5,1.25,4.3,4,,95.49257253,,,8.915663,10.64920244,93.34277925
58,ACETONE,5.1,1.5,500000,0.75,75000,20,5,5.7,4.9,,95.04737224,,,5.951687699,16.70287,10.01506209
59,ACETONE,5.1,1.5,100000,0.75,45000,2.5,0.625,5,4.7,,99.29992998,,,3.620688818,82.67673919,60.80347987
60,ACETONE,5.1,1.5,100000,0.75,75000,10,2.5,5,4.9,,100,,,4.530386502,6.029039899,21.58177271
61,ACETONE,5.1,1,100000,0.5,20000,20,5,5,4.3,,98.5974753,,,3.775999038,5.425126967,10.56773498
62,ACETONE,5.1,1.5,500000,0.75,20000,10,2.5,5.7,4.3,,94.72309923,,,5.547532539,21.9719,16.9124722
63,ACETONE,5.1,2,500000,1,55000,2.5,0.625,5.7,4.7,,95.48471987,,,2.96760548,37.98908,13.47665501
64,ACETONE,5.1,0.75,40000,0.375,75000,10,2.5,4.6,4.9,,96.05230013,,,5.058082,8.317504229,35.1828899
65,ACETONE,5.1,0.5,6500,0.25,55000,5,1.25,3.8,4.7,,99.36036375,,,4.997160109,17.09401781,21.00000394
66,ACETONE,5.1,1.5,100000,0.75,20000,20,5,5,4.3,,99.92425682,,,7.25847207,11.45092396,17.24611427
67,ACETONE,5.1,0.75,100000,0.375,20000,10,2.5,5,4.3,,99.98149206,,,4.35501745,8.643861599,36.59612717
68,ACETONE,5.1,1,100000,0.5,10000,10,2.5,5,4,,99.22412002,,,4.308062626,75.69716847,89.21402272
69,ACETONE,5.1,0.75,500000,0.375,45000,5,1.25,5.7,4.7,,96.43503046,,,6.086687,13.92712525,14.95418972
70,ACETONE,5.1,1.5,100000,0.75,75000,20,5,5,4.9,,100,,,1.886178808,4.937662447,13.31243235
71,ACETONE,5.1,0.5,100000,0.25,55000,20,5,5,4.7,,99.74129015,,,3.437772966,7.669903265,18.54360049
72,ACETONE,5.1,1.5,100000,0.75,10000,1,0.25,5,4,,98.8159311,,,4.991453011,71.50621479,64.30850926
73,ACETONE,5.1,1.5,100000,0.75,45000,20,5,5,4.7,,99.68384665,,,3.748289806,5.941549545,15.57255766
74,ACETONE,5.1,1,100000,0.5,20000,1,0.25,5,4.3,,98.72528011,,,7.812500935,54.44965307,71.29208004
75,ACETONE,5.1,1.5,40000,0.75,55000,10,2.5,4.6,4.7,,95.86752416,,,6.113649,6.645420335,9.799034189
76,ACETONE,5.1,1,500000,0.5,45000,20,5,5.7,4.7,,93.43215261,,,2.0317,28.98399948,12.34177348
77,ACETONE,5.1,2,500000,1,45000,10,2.5,5.7,4.7,,92.32657328,,,8.507193443,20.18518,46.72413084
78,ACETONE,5.1,2,100000,1,20000,5,1.25,5,4.3,,98.88192436,,,7.310469375,46.07843632,46.23161046
79,ACETONE,5.1,1,500000,0.5,55000,20,5,5.7,4.7,,91.93670417,,,6.078167585,21.18489661,13.40688609
80,ACETONE,5.1,2,6500,1,45000,5,1.25,3.8,4.7,,99.97516452,,,3.854073887,12.59858873,40.32257381
