Formula_Label,Solvent,Solvent_Polarity,DS_Protein_Ratio,DS_MW,DS Concentration,Polymer_MW,Polymer_Protein_Ratio,Polymer concentration,log_DS_MW,log_Polymer_MW,Experimenta #,Encapsulation efficiency (%),Size,Zeta Potential,Release D5,Release D10,Release D30
1,ACN,3.5,2,500000,1,20000,10,2.5,5.7,4.3,1A,65,83.01,-34.3,5.230449144,6.12267793,10.9524951
2,ACN,3.5,0.75,500000,0.375,55000,10,2.5,5.7,4.7,1B,87,82.48667,-37.7,2.407856386,7.685381,15.4426536
3,ACN,3.5,0.75,100000,0.375,45000,20,5,5,4.7,1C,93,84.19,-26.266667,2.772994146,6.10403294,11.7680844
4,ACN,3.5,1.5,100000,0.75,20000,2.5,0.625,5,4.3,2C,100,88.21667,-38.466667,3.83254749,3.78347054,21.4104177
5,ACN,3.5,1.5,100000,0.75,55000,20,5,5,4.7,3C,97,88.30333,-38.233333,2.860533674,4.3183867,14.5730293
6,ACN,3.5,1,500000,0.5,10000,10,2.5,5.7,4,2A,62,84.52,-30.266667,9.348934865,9.27713248,12.0250375
7,ACN,3.5,2,500000,1,75000,20,5,5.7,4.9,2B,,118.8667,-21.166667,3.746128974,5.53577776,0
8,ACN,3.5,0.5,100000,0.25,55000,10,2.5,5,4.7,4C,96,102.5333,-29.766667,2.981449718,4.98399336,20.1516108
9,ACN,3.5,1,500000,0.5,55000,10,2.5,5.7,4.7,3B,,109.6,-41.3,6.464339645,6.19172,2.48426561
10,ACN,3.5,1.5,500000,0.75,55000,2.5,0.625,5.7,4.7,4B,89,135.9333,-28.9,8.161385292,8.23996288,0.57143016
11,ACN,3.5,1.5,500000,0.75,45000,10,2.5,5.7,4.7,3A,69,77.44,-33.233333,3.088419761,6.16556187,13.6949666
12,ACN,3.5,1.5,100000,0.75,5000,10,2.5,5,3.7,5C,88,99.36667,-31.8,6.803874243,7.20675633,57.5286388
13,ACN,3.5,0.75,500000,0.375,10000,10,2.5,5.7,4,4A,64,84.91,-34.233333,10.20854638,10.8787591,10.3899368
14,ACN,3.5,1.5,100000,0.75,45000,5,1.25,5,4.7,6C,85,105.7667,-42.1,3.612013769,5.81145104,24.6397683
15,ACN,3.5,1.5,100000,0.75,20000,10,2.5,5,4.3,7C,98,84.68333,-46.5,4.30194842,5.10309274,13.7069284
16,ACN,3.5,1,40000,0.5,10000,10,2.5,4.6,4,5A,58,81.52,-32.533333,5.283650116,11.2049528,26.0790636
17,ACN,3.5,1.5,40000,0.75,75000,2.5,0.625,4.6,4.9,6A,45,106.77,-28.866667,1.266323071,17.4522672,47.0967702
18,ACN,3.5,1,100000,0.5,55000,5,1.25,5,4.7,8C,96,116.2,-46.466667,3.937139449,6.71363517,24.6905084
19,ACN,3.5,0.5,100000,0.25,20000,20,5,5,4.3,9C,98,68.09,-20.4,4.17070881,5.79809012,18.5001603
20,ACN,3.5,2,40000,1,45000,20,5,4.6,4.7,7A,45,63.3,-22.7,1.458080539,8.93898606,10.2395762
21,ACN,3.5,1,20000,0.5,75000,10,2.5,4.3,4.9,10C,100,119.9667,-23.1,4.028177394,7.9134021,21.4104177
22,ACN,3.5,0.5,500000,0.25,55000,10,2.5,5.7,4.7,5B,92,112.1,-35.266667,4.900865742,7.46835423,0.57270075
23,ACN,3.5,1,100000,0.5,20000,20,5,5,4.3,1D,81,59.37333,-20.7,9.390127052,5.0840775,6.57970161
24,ACN,3.5,2,100000,1,10000,10,2.5,5,4,2D,89,76.6875,-40.033333,2.760480365,5.3278705,9.7974679
25,ACN,3.5,1.5,500000,0.75,20000,5,1.25,5.7,4.3,8A,59,86.47,-34.3,4.865230162,7.91237139,17.9349483
26,ACN,3.5,2,500000,1,55000,20,5,5.7,4.7,6B,91,94.7,-6.8966667,8.754758794,7.94579685,1.08795763
27,ACN,3.5,1,500000,0.5,45000,10,2.5,5.7,4.7,9A,71,75.45,-35.366667,1.367404925,8.60113339,11.5170996
28,ACN,3.5,1.5,100000,0.75,45000,20,5,5,4.7,3D,89,77.66667,-37.266667,0,3.44739405,5.65552637
29,ACN,3.5,1,100000,0.5,55000,10,2.5,5,4.7,4D,85,110.0333,-34.466667,0,3.98665648,13.1532716
30,ACN,3.5,1.5,100000,0.75,75000,1,0.25,5,4.9,5D,79,152.4,-40.833333,7.677510865,9.14930494,16.5938862
31,ACN,3.5,0.75,500000,0.375,55000,20,5,5.7,4.7,7B,94,87.49667,-47.5,4.950631091,7.06083144,1.29512353
32,ACN,3.5,1,500000,0.5,45000,20,5,5.7,4.7,8B,90,73.26,-36.866667,5.118110671,7.53509486,0
