Formula_Label,Solvent,Solvent_Polarity,DS_Protein_Ratio,DS_MW,DS Concentration,Polymer_MW,Polymer_Protein_Ratio,Polymer concentration,log_DS_MW,log_Polymer_MW,Experimenta #,Encapsulation efficiency (%),Size,Zeta Potential,Release D5,Release D10,Release D30
16,ACN,3.5,1,40000,0.5,10000,10,2.5,4.6,4.0,5A,0.58,81.52,-32.53333333,5.283650116,11.20495281,26.0790636
17,ACN,3.5,1.5,40000,0.75,75000,2.5,0.625,4.6,4.9,6A,0.45,106.77,-28.86666667,1.266323071,17.4522672,47.09677022
18,ACN,3.5,1,100000,0.5,55000,5,1.25,5.0,4.7,8C,0.96,116.2,-46.46666667,3.937139449,6.71363517,24.69050838
19,ACN,3.5,0.5,100000,0.25,20000,20,5,5.0,4.3,9C,0.98,68.09,-20.4,4.17070881,5.798090124,18.5001603
20,ACN,3.5,2,40000,1,45000,20,5,4.6,4.7,7A,0.45,63.30,-22.7,1.458080539,8.938986063,10.23957624
21,ACN,3.5,1,20000,0.5,75000,10,2.5,4.3,4.9,10C,1.00,119.9666667,-23.1,4.028177394,7.913402098,21.41041766
22,ACN,3.5,0.5,500000,0.25,55000,10,2.5,5.7,4.7,5B,0.92,112.1,-35.26666667,4.900865742,7.468354229,0.572700754
23,ACN,3.5,1,100000,0.5,20000,20,5,5.0,4.3,1D,0.81,59.37333333,-20.7,9.390127052,5.084077503,6.579701613
24,ACN,3.5,2,100000,1,10000,10,2.5,5.0,4.0,2D,0.89,76.6875,-40.03333333,2.760480365,5.327870495,9.797467905
25,ACN,3.5,1.5,500000,0.75,20000,5,1.25,5.7,4.3,8A,0.59,86.47,-34.3,4.865230162,7.912371387,17.93494831
26,ACN,3.5,2,500000,1,55000,20,5,5.7,4.7,6B,0.91,94.7,-6.896666667,8.754758794,7.945796854,1.087957625
27,ACN,3.5,1,500000,0.5,45000,10,2.5,5.7,4.7,9A,0.71,75.45,-35.36666667,1.367404925,8.601133394,11.51709964
28,ACN,3.5,1.5,100000,0.75,45000,20,5,5.0,4.7,3D,0.89,77.66666667,-37.26666667,0,3.447394047,5.655526368
29,ACN,3.5,1,100000,0.5,55000,10,2.5,5.0,4.7,4D,0.85,110.0333333,-34.46666667,0,3.986656478,13.15327163
30,ACN,3.5,1.5,100000,0.75,75000,1,0.25,5.0,4.9,5D,0.79,152.4,-40.83333333,7.677510865,9.149304944,16.59388615
31,ACN,3.5,0.75,500000,0.375,55000,20,5,5.7,4.7,7B,0.94,87.49666667,-47.5,4.950631091,7.060831441,1.295123532
32,ACN,3.5,1,500000,0.5,45000,20,5,5.7,4.7,8B,0.90,73.26,-36.86666667,5.118110671,7.535094861,0
33,ACN,3.5,2,40000,1,45000,5,1.25,4.6,4.7,9B,0.96,87.76333333,-44.63333333,7.009214724,9.453848192,11.14564869
34,ACN,3.5,0.5,100000,0.25,10000,5,1.25,5.0,4.0,6D,0.90,115.6666667,-30.73333333,2.28986356,7.209908256,28.33065888
35,ACN,3.5,0.75,100000,0.375,20000,10,2.5,5.0,4.3,7D,0.96,93.76666667,-42.86666667,0.204916136,3.756729828,7.658780837
36,ACN,3.5,0.75,100000,0.375,75000,2.5,0.625,5.0,4.9,8D,0.79,147.7,-36,1.405620256,12.7899689,31.25000192
37,ACN,3.5,1.5,6500,0.75,20000,5,1.25,3.8,4.3,10A,0.67,111.20,-23.56666667,3.989650744,10.92865228,37.93103586
38,ACN,3.5,2,100000,1,20000,5,1.25,5.0,4.3,9D,0.88,85.39,-42.6,2.953196384,7.039070435,27.37466937
39,ACN,3.5,1,500000,0.5,45000,2.5,0.625,5.7,4.7,10B,0.91,108.9,-43.16666667,8.292748604,8.454718703,1.117318695
40,ACN,3.5,1.5,100000,0.75,20000,5,1.25,5.0,4.3,10D,0.73,89.61333333,-39.53333333,5.083970116,8.438592042,26.52406466
